address,origin,subsystem,disposition,confidence,evidence_id
0x00401000,authored_game,Math,authored,high,cubic-hermite-scalar-exact-2026-09-21
0x00401060,compiler_generated,Compiler,exclude,high,vc71-math-intrinsic-comdat-review-2026-09-20
0x00401070,compiler_generated,Compiler,exclude,high,vc71-math-intrinsic-comdat-review-2026-09-20
0x00401080,compiler_generated,Compiler,exclude,high,vc71-math-intrinsic-comdat-review-2026-09-20
0x00401090,authored_game,Game,authored,high,game-code-origin-sweep-2026-09-19
0x004010B0,authored_game,Math,authored,high,float3-constructor-origin-2026-09-11
0x004010D0,authored_game,Math,authored,high,anm-math-leaf-target-replay-2026-09-16
0x00401100,authored_game,Math,authored,high,float3-add-origin-2026-09-11
0x00401140,authored_game,Math,authored,high,float3-subtract-origin-2026-09-11
0x00401180,authored_game,Math,authored,high,float3-multiply-origin-2026-09-11
0x004011C0,authored_game,Background,authored,high,packet154-background-recovery-2026-09-15
0x004011D0,authored_game,Game,authored,high,game-code-origin-sweep-2026-09-19
0x00401290,library,D3DX8,exclude,high,d3dx8-header-inline-comdat-review-2026-09-20
0x004012C0,library,D3DX8,exclude,high,d3dx8-header-inline-comdat-review-2026-09-20
0x004012E0,library,D3DX8,exclude,high,d3dx8-header-inline-comdat-review-2026-09-20
0x00401300,authored_game,AnmManager,authored,medium,anm-math-leaf-target-replay-2026-09-16
0x00401340,authored_game,ZunMemory,authored,high,zun-memory-alloc-vc71-exact-2026-09-10
0x00401360,authored_game,ZunMemory,authored,high,zun-memory-free-vc71-exact-2026-09-10
0x00401380,authored_game,ZunMemory,authored,high,zun-memory-add-to-registry-vc71-exact-2026-09-10
0x00401390,authored_game,Supervisor,authored,high,packet98-render-primitives-vc71-exact-2026-09-13
0x004013E0,authored_game,Supervisor,authored,high,packet106-camera-viewport-vc71-exact-2026-09-13
0x00401410,authored_game,Supervisor,authored,high,packet106-camera-viewport-vc71-exact-2026-09-13
0x00401440,authored_game,Supervisor,authored,high,runtime-support-leaf-target-replay-2026-09-16
0x00401460,authored_game,Supervisor,authored,high,packet97-reusable-render-helpers-vc71-exact-2026-09-13
0x00401470,compiler_generated,Compiler,exclude,high,vc71-generated-helper-review-2026-09-19
0x004014A0,authored_game,ZunTimer,authored,high,zun-timer-screen-effect-dependencies-2026-09-15
0x004014B0,authored_game,ZunTimer,authored,high,zun-timer-tick-vc71-exact-2026-09-11
0x004014D0,authored_game,ZunTimer,authored,high,zun-timer-set-current-vc71-exact-2026-09-11
0x004014F0,authored_game,ZunTimer,authored,high,zun-timer-float-conversion-vc71-exact-2026-09-11
0x00401500,authored_game,ZunTimer,authored,high,zun-timer-assign-int-vc71-exact-2026-09-11
0x00401510,authored_game,ZunTimer,authored,high,zun-timer-post-increment-vc71-exact-2026-09-11
0x00401520,authored_game,ZunTimer,authored,high,zun-timer-greater-equal-vc71-exact-2026-09-11
0x00401540,authored_game,ZunTimer,authored,high,zun-timer-less-vc71-exact-2026-09-11
0x00401560,authored_game,AnmLoaded,authored,high,anm-loaded-execute-anm-idx-origin-2026-09-11
0x004015F0,authored_game,AnmManager,authored,high,anm-screen-effect-cache-helpers-2026-09-15
0x00401600,authored_game,AnmManager,authored,high,packet154-background-recovery-2026-09-15
0x00401610,authored_game,AnmManager,authored,high,packet154-background-recovery-2026-09-15
0x00401620,authored_game,AnmManager,authored,high,packet154-background-recovery-2026-09-15
0x00401640,authored_game,AnmManager,authored,high,packet154-background-recovery-2026-09-15
0x00401660,authored_game,AnmManager,authored,high,packet154-background-recovery-2026-09-15
0x00401680,authored_game,GameManager,authored,high,packet97-reusable-render-helpers-vc71-exact-2026-09-13
0x004016B0,authored_game,GameManager,authored,high,packet97-reusable-render-helpers-vc71-exact-2026-09-13
0x004016E0,authored_game,Game,authored,high,game-code-origin-sweep-2026-09-19
0x004018A0,authored_game,Background,authored,high,background-pending-stage-label-exact-2026-09-21
0x004018F0,authored_game,Game,authored,high,game-code-origin-sweep-2026-09-19
0x00402350,authored_game,Background,authored,high,packet154-background-recovery-2026-09-15
0x004024D0,authored_game,Background,authored,high,packet154-background-recovery-2026-09-15
0x00402530,authored_game,Background,authored,high,background-release-subsystem0-vc71-exact-2026-09-17
0x00402570,authored_game,Background,authored,high,packet154-background-recovery-2026-09-15
0x004026C0,authored_game,Game,authored,high,game-code-origin-sweep-2026-09-19
0x00403390,authored_game,ZunTimer,authored,high,zun-timer-screen-effect-dependencies-2026-09-15
0x004033A0,authored_game,AnmManager,authored,high,packet154-background-recovery-2026-09-15
0x004033E0,authored_game,Background,authored,high,packet154-background-recovery-2026-09-15
0x00403680,authored_game,Background,authored,high,packet154-background-recovery-2026-09-15
0x00403830,authored_game,Background,authored,high,packet154-background-recovery-2026-09-15
